Version,Game ID,Timecode,Half Inning,Inning,At Bat,At Bat Pitch Count,Pitcher League Code,Pitcher Team City,Pitcher Team Name,Pitcher Team Code,Pitcher First Name,Pitcher Last Name,Pitcher MLBID,Pitcher GUID,Batter League Code,Batter Team City,Batter Team Name,Batter Team Code,Batter First Name,Batter Last Name,Batter MLBID,Batter GUID,Stance,Top of SZ,Bottom of SZ,Outs,Balls,Strikes,Call,Umpire MLBID,Pitch Type,Pitch ID,Pitch Start Time,Pitch Start Speed,Pitch End Speed,Reported Speed,Curve Start Y,Arc Break X,Arc Break Z,Arc Break Magnitude,Deflection Break X,Deflection Break Z,Deflection Break Magnitude,Break Angle,Spin Angle,Spin Rate,Cross Plate X,Cross Plate Y,Cross Plate Z,X0,Y0,Z0,Vx0,Vy0,Vz0,Ax,Ay,Az,Avg LOP Error,LOP Error at Plate,Venue ID,Operator First Name,Operator Last Name
7.7.6,2015.10.04.col.mlb.sfn.mlb.1,1443986328017,Top,1,,,,,,,,,,,,,,,,,,,,,,,,,NP,,,151004_121813,10284.4106,84.9,79.3,84.908,40,-2.78,-5.46,6.13,-7.26,7.87,10.71,132.71,222.00,1993,0.099,1.417,3.195,-2.040,50.000,6.311,7.618,-124.242,-3.730,-11.542,20.985,-19.595,0.799,0.228,31,operator,operator
7.7.6,2015.10.04.col.mlb.sfn.mlb.1,1443986335860,Top,1,,,,,,,,,,,,,,,,,,,,,,,,,NP,,,151004_121821,10292.4742,87.3,81.3,87.288,40,-2.28,-4.35,4.91,-6.17,9.77,11.56,122.26,212.00,2201,0.813,1.417,2.367,-1.667,50.000,6.137,8.315,-127.590,-6.434,-10.301,22.990,-15.778,0.637,0.143,31,operator,operator
7.7.6,2015.10.04.col.mlb.sfn.mlb.1,1443986346057,Top,1,,,,,,,,,,,,,,,,,,,,,,,,,NP,,,151004_121831,10302.6711,73.3,69.9,73.287,40,2.99,-13.83,14.15,6.51,-4.91,8.16,322.96,52.00,1293,2.093,1.417,-0.102,-1.648,50.000,6.266,6.155,-107.211,-4.641,7.668,16.443,-37.887,0.638,0.185,31,operator,operator
7.7.6,2015.10.04.col.mlb.sfn.mlb.1,1443986357340,Top,1,,,,,,,,,,,,,,,,,,,,,,,,,NP,,,151004_121842,10313.9557,73.0,68.9,72.971,40,3.22,-14.08,14.44,7.60,-5.64,9.46,323.40,53.00,1500,-1.057,1.417,2.166,-1.843,50.000,6.542,-0.431,-107.024,-0.178,8.922,16.283,-38.727,0.642,0.357,31,operator,operator
7.7.6,2015.10.04.col.mlb.sfn.mlb.1,1443986368053,Top,1,,,,,,,,,,,,,,,,,,,,,,,,,NP,,,151004_121853,10324.6651,82.0,76.3,82.012,40,-1.48,-9.36,9.48,-3.75,0.18,3.76,177.19,267.00,667,-1.063,1.417,2.926,-1.755,50.000,6.360,2.805,-120.243,-1.481,-5.524,22.218,-31.829,0.783,0.269,31,operator,operator
7.7.6,2015.10.04.col.mlb.sfn.mlb.1,1443986379252,Top,1,,,,,,,,,,,,,,,,,,,,,,,,,NP,,,151004_121904,10335.8631,83.1,77.1,83.149,40,-2.41,-8.67,9.00,-6.18,1.31,6.32,167.99,257.00,1135,-0.562,1.417,3.064,-1.778,50.000,6.270,4.861,-121.847,-1.468,-9.310,23.378,-30.119,0.728,0.238,31,operator,operator
7.7.6,2015.10.04.col.mlb.sfn.mlb.1,1443986394414,Top,1,,,,,,,,,,,,,,,,,,,,,,,,,NP,,,151004_121919,10351.0281,90.2,83.2,90.162,40,-3.28,-6.36,7.15,-8.50,3.83,9.32,155.75,245.00,1812,0.178,1.417,2.944,-1.704,50.000,6.123,7.784,-131.964,-3.427,-15.005,27.799,-25.341,0.683,0.297,31,operator,operator
7.7.6,2015.10.04.col.mlb.sfn.mlb.1,1443986464456,Top,1,1,1,mlb,San Francisco,Giants,sfn,Matt,Cain,430912,46cffb9f38b011e2ac2700155d641f0c,mlb,Colorado,Rockies,col,Charlie,Blackmon,453568,46e6367638b011e2ac2700155d641f0c,L,3.42,1.55,0,0,0,B,547380,FT,151004_122029,10421.0583,89.8,83.7,89.836,40,-3.18,-5.96,6.75,-8.08,5.43,9.74,146.09,236.00,1896,-0.215,1.417,0.257,-1.720,50.000,5.876,6.643,-131.192,-10.261,-14.199,25.705,-22.553,0.789,0.216,31,operator,operator
7.7.6,2015.10.04.col.mlb.sfn.mlb.1,1443986480577,Top,1,1,2,mlb,San Francisco,Giants,sfn,Matt,Cain,430912,46cffb9f38b011e2ac2700155d641f0c,mlb,Colorado,Rockies,col,Charlie,Blackmon,453568,46e6367638b011e2ac2700155d641f0c,L,3.42,1.55,0,1,0,F,547380,FT,151004_122045,10437.1826,90.8,84.4,90.769,40,-3.81,-5.80,6.94,-9.80,4.71,10.88,154.34,244.00,2148,0.411,1.417,2.781,-1.809,50.000,5.985,9.207,-132.751,-3.956,-17.694,25.353,-23.600,0.746,0.210,31,operator,operator
7.7.6,2015.10.04.col.mlb.sfn.mlb.1,1443986511514,Top,1,1,3,mlb,San Francisco,Giants,sfn,Matt,Cain,430912,46cffb9f38b011e2ac2700155d641f0c,mlb,Colorado,Rockies,col,Charlie,Blackmon,453568,46e6367638b011e2ac2700155d641f0c,L,3.42,1.55,0,1,1,B,547380,FT,151004_122116,10468.1125,90.9,84.4,90.883,40,-3.10,-5.94,6.70,-8.32,4.42,9.42,152.00,242.00,1860,1.356,1.417,2.627,-1.639,50.000,5.937,10.734,-132.798,-4.132,-15.004,25.773,-24.123,0.946,0.201,31,operator,operator
